#!(s),Date,Time,TA_HALL2_ET1,TA_SC2_ET1,CO_SC2_ET1,DBS_SC2_ET1,DBE_SC2_ET1,TA_FAB_LAB_ET1,CO_FAB_LAB_ET1,DBS_FAB_LAB_ET1,DBE_FAB_LAB_ET1,TA_HALL1_ET1
1710115226,11.03.2024,0:00:26,19.2,18.2,0,893,677,18.2,0,540,540,19.4
1710116129,11.03.2024,0:15:29,19.2,18.2,0,893,727,18.1,0,551,540,19.4
1710117033,11.03.2024,0:30:33,19.2,18.2,0,875,644,18.1,0,540,551,19.4
1710117936,11.03.2024,0:45:36,19.2,18.2,0,893,742,18.2,0,540,551,19.4
1710118839,11.03.2024,1:00:39,19.2,18.2,0,842,774,18.2,0,540,540,19.4
1710119742,11.03.2024,1:15:42,19.2,18.1,0,893,659,18.1,0,540,540,19.4
1710120645,11.03.2024,1:30:45,19.3,18.2,0,893,774,18.2,0,540,551,19.4
1710121548,11.03.2024,1:45:48,19.2,18.2,0,857,594,18.1,0,540,540,19.4
1710122452,11.03.2024,2:00:52,19.2,18.2,0,875,742,18.1,0,540,540,19.4
1710123355,11.03.2024,2:15:55,19.2,18.1,0,875,709,18.1,0,540,540,19.4
1710124258,11.03.2024,2:30:58,19.2,18.1,0,875,677,18.1,0,551,540,19.4
1710125161,11.03.2024,2:46:01,19.1,18.2,0,857,695,18.1,0,540,540,19.4
1710126064,11.03.2024,3:01:04,19.1,18.1,0,875,626,18.2,0,540,540,19.3
1710126967,11.03.2024,3:16:07,19.2,18.2,0,857,659,18.2,0,551,540,19.4
1710127871,11.03.2024,3:31:11,19.2,18.3,0,842,727,18.2,0,551,540,19.4
1710128774,11.03.2024,3:46:14,19.1,18.4,0,875,742,18.2,0,551,540,19.4
1710129677,11.03.2024,4:01:17,19.1,18.4,0,857,760,18.2,0,551,540,19.4
1710130580,11.03.2024,4:16:20,19.1,18.6,0,875,824,18.2,0,551,540,19.4
1710131483,11.03.2024,4:31:23,19.1,18.7,0,842,792,18.3,0,551,540,19.3
1710132387,11.03.2024,4:46:27,19.2,18.7,0,857,842,18.3,0,540,540,19.3
1710133290,11.03.2024,5:01:30,19.1,18.8,0,842,792,18.3,0,551,540,19.3
1710134193,11.03.2024,5:16:33,19.1,18.8,0,875,792,18.2,0,540,540,19.3
1710135096,11.03.2024,5:31:36,19.2,18.9,0,842,792,18.2,0,551,540,19.3
1710135999,11.03.2024,5:46:39,19.2,18.9,0,842,810,18.2,0,540,551,19.3
1710136902,11.03.2024,6:01:42,19.1,18.9,0,875,792,18.2,0,551,540,19.4
1710137805,11.03.2024,6:16:45,19.2,19,0,842,695,18.2,0,551,540,19.3
1710138709,11.03.2024,6:31:49,19.2,19,0,875,677,18.2,0,540,540,19.3
1710139612,11.03.2024,6:46:52,19.1,19,0,893,727,18.3,0,551,540,19.3
1710140515,11.03.2024,7:01:55,19.2,19,0,893,774,18.4,0,540,540,19.3
1710141418,11.03.2024,7:16:58,19.1,19.1,0,875,810,18.4,0,551,540,19.3
1710142321,11.03.2024,7:32:01,19.2,19,0,875,810,18.2,0,551,540,19.3
1710143224,11.03.2024,7:47:04,19.2,19,0,893,774,18.3,0,551,540,19.3
1710144127,11.03.2024,8:02:07,19.2,18.8,0,824,792,19.2,0,551,540,19.4
1710145031,11.03.2024,8:17:11,19.2,19.2,0,810,907,19.4,0,540,540,19.5
1710145934,11.03.2024,8:32:14,19.4,19.4,0,792,842,19.6,0,540,540,19.6
1710146837,11.03.2024,8:47:17,19.5,19.4,0,792,810,19.6,0,540,540,19.7
1710147740,11.03.2024,9:02:20,19.7,19.6,0,792,824,19,0,551,540,19.8
1710148643,11.03.2024,9:17:23,19.8,19.7,0,792,760,18.5,0,540,540,19.9
1710149546,11.03.2024,9:32:26,20,19.8,0,792,810,19.4,0,540,540,20
1710150447,11.03.2024,9:47:27,20.1,19.9,0,792,842,18.9,0,540,540,20.1
1710151351,11.03.2024,10:02:31,20.2,20.5,0,810,709,18.7,0,540,529,20.2
1710152254,11.03.2024,10:17:34,20.3,21,0,792,824,18.8,0,540,540,20.2
1710153157,11.03.2024,10:32:37,20.5,21.2,0,810,792,18.9,0,540,540,20.3
1710154060,11.03.2024,10:47:40,20.6,21.4,0,810,810,20,0,540,551,20.4
1710154963,11.03.2024,11:02:43,20.6,21.5,0,810,626,19.6,0,540,562,20.5
1710155866,11.03.2024,11:17:46,20.7,21.4,0,792,907,19.9,0,551,551,20.5
1710156769,11.03.2024,11:32:49,20.7,21.5,0,810,824,19.8,0,540,551,20.6
1710157673,11.03.2024,11:47:53,20.7,21.3,0,774,893,20,0,540,551,20.5
1710158576,11.03.2024,12:02:56,20.7,21.2,0,792,792,20.3,0,540,551,20.6
1710159479,11.03.2024,12:17:59,20.7,21,0,810,810,20.7,0,540,551,20.6
1710160382,11.03.2024,12:33:02,20.7,20.8,0,792,709,21.2,0,540,551,20.6
1710161285,11.03.2024,12:48:05,20.7,20.7,0,810,727,21.4,0,540,551,20.6
1710162188,11.03.2024,13:03:08,20.7,20.7,0,792,774,21.5,0,540,551,20.6
1710163091,11.03.2024,13:18:11,20.6,20.2,0,792,727,21.6,0,540,551,20.5
1710163995,11.03.2024,13:33:15,20.5,20.6,0,810,810,21,0,540,551,20.4
1710164898,11.03.2024,13:48:18,20.6,20.6,0,792,774,21.6,0,540,551,20.5
1710165801,11.03.2024,14:03:21,20.6,20.6,0,792,810,21.5,0,540,551,20.5
1710166704,11.03.2024,14:18:24,20.6,21.1,0,792,842,21.5,0,540,551,20.5
1710167607,11.03.2024,14:33:27,20.6,21.2,0,810,792,21.4,0,540,551,20.5
1710168510,11.03.2024,14:48:30,20.5,21.3,0,810,792,21.8,0,540,551,20.5
1710169413,11.03.2024,15:03:33,20.5,21.4,0,810,842,21.8,0,540,551,20.5
1710170317,11.03.2024,15:18:37,20.5,21.3,0,792,857,22,0,540,551,20.5
1710171220,11.03.2024,15:33:40,20.5,21.2,0,810,792,22.2,0,540,551,20.4
1710172123,11.03.2024,15:48:43,20.6,21,0,810,792,21.8,0,540,551,20.4
1710173026,11.03.2024,16:03:46,20.5,20.7,0,824,792,22.1,0,540,551,20.5
1710173929,11.03.2024,16:18:49,20.5,20.5,0,842,810,22.2,0,540,551,20.4
1710174832,11.03.2024,16:33:52,20.4,20.3,0,842,727,22.3,0,540,551,20.5
1710175735,11.03.2024,16:48:55,20.4,20.1,0,842,760,22.2,0,540,551,20.4
1710176638,11.03.2024,17:03:58,20.4,20,0,842,695,21.9,0,540,551,20.4
1710177541,11.03.2024,17:19:01,20.4,19.9,0,842,709,21.7,0,540,540,20.4
1710178445,11.03.2024,17:34:05,20.4,19.7,0,810,792,21.8,0,540,540,20.4
1710179348,11.03.2024,17:49:08,20.4,20.2,0,824,792,21.1,0,529,540,20.4
1710180251,11.03.2024,18:04:11,20.3,20.4,0,810,695,20.8,0,540,540,20.3
1710181154,11.03.2024,18:19:14,20.2,20.4,0,810,695,20.7,0,529,551,20.3
1710182057,11.03.2024,18:34:17,20.3,20.4,0,824,810,20.7,0,529,551,20.3
1710182960,11.03.2024,18:49:20,20.2,20.2,0,824,677,20.7,0,540,551,20.3
1710183863,11.03.2024,19:04:23,20.2,20.1,0,824,695,20.6,0,540,551,20.3
1710184767,11.03.2024,19:19:27,20.2,20.1,0,824,742,20.7,0,540,540,20.2
1710185670,11.03.2024,19:34:30,20.2,20,0,842,774,21,0,540,540,20.2
1710186573,11.03.2024,19:49:33,20.1,19.8,0,810,709,20.8,0,540,540,20.2
1710187476,11.03.2024,20:04:36,20.1,19.7,0,810,774,20.7,0,540,540,20.2
1710188379,11.03.2024,20:19:39,20.1,20.1,0,842,677,20.2,0,540,540,20.1
1710189283,11.03.2024,20:34:43,20,19.5,0,857,742,19.2,0,540,540,20.1
1710190186,11.03.2024,20:49:46,19.9,19.1,0,842,727,19.2,0,540,540,20.1
1710191089,11.03.2024,21:04:49,19.9,19.1,0,842,774,19,0,540,540,20.1
1710191992,11.03.2024,21:19:52,19.9,19.1,0,857,824,18.9,0,540,540,20
1710192895,11.03.2024,21:34:55,19.9,19,0,857,709,18.9,0,529,551,20
1710193798,11.03.2024,21:49:58,19.8,18.9,0,857,810,18.9,0,529,572,20
1710194702,11.03.2024,22:05:02,19.8,18.9,0,842,709,18.7,0,540,540,20
1710195605,11.03.2024,22:20:05,19.8,18.9,0,857,760,18.7,0,529,540,20
1710196508,11.03.2024,22:35:08,19.8,18.9,0,842,842,18.7,0,540,540,20
1710197411,11.03.2024,22:50:11,19.8,18.7,0,857,760,18.8,0,540,551,19.9
1710198314,11.03.2024,23:05:14,19.9,18.7,0,842,727,18.7,0,529,540,20
1710199217,11.03.2024,23:20:17,19.8,18.8,0,842,760,18.6,0,529,540,19.9
1710200120,11.03.2024,23:35:20,19.8,18.7,0,857,695,18.7,0,540,540,20
1710201024,11.03.2024,23:50:24,19.8,18.8,0,842,792,18.6,0,529,540,19.9
1710201927,12.03.2024,0:05:27,19.8,18.7,0,857,709,18.6,0,540,540,19.9
1710202830,12.03.2024,0:20:30,19.8,18.7,0,857,677,18.7,0,540,540,19.9
1710203733,12.03.2024,0:35:33,19.8,18.7,0,857,727,18.6,0,540,540,19.9
1710204636,12.03.2024,0:50:36,19.7,18.7,0,842,709,18.6,0,529,529,19.9
1710205539,12.03.2024,1:05:39,19.7,18.7,0,857,742,18.8,0,540,551,19.9
1710206442,12.03.2024,1:20:42,19.7,18.7,0,842,709,18.6,0,529,540,19.9
1710207345,12.03.2024,1:35:45,19.7,18.6,0,857,792,18.5,0,529,540,19.9
1710208249,12.03.2024,1:50:49,19.7,18.6,0,857,544,18.6,0,540,540,19.9
1710209152,12.03.2024,2:05:52,19.7,18.6,0,842,810,18.5,0,529,540,19.9
1710210055,12.03.2024,2:20:55,19.7,18.5,0,842,695,18.5,0,540,540,19.9
1710210958,12.03.2024,2:35:58,19.7,18.6,0,857,709,18.5,0,529,540,19.9
1710211861,12.03.2024,2:51:01,19.7,18.6,0,875,709,18.5,0,529,540,19.9
1710212764,12.03.2024,3:06:04,19.7,18.6,0,842,792,18.5,0,529,551,19.9
1710213668,12.03.2024,3:21:08,19.6,18.7,0,824,760,18.7,0,529,551,19.8
1710214571,12.03.2024,3:36:11,19.7,18.8,0,842,774,18.7,0,529,551,19.8
1710215474,12.03.2024,3:51:14,19.6,18.9,0,824,792,18.7,0,529,551,19.8
1710216377,12.03.2024,4:06:17,19.6,19,0,824,742,18.8,0,529,551,19.8
1710217280,12.03.2024,4:21:20,19.6,19.1,0,824,774,18.7,0,529,551,19.8
1710218184,12.03.2024,4:36:24,19.7,19.1,0,857,760,18.7,0,529,551,19.9
1710219087,12.03.2024,4:51:27,19.6,19.2,0,824,857,18.6,0,540,551,19.9
1710219990,12.03.2024,5:06:30,19.7,19.2,0,824,774,18.6,0,540,551,19.8
1710220893,12.03.2024,5:21:33,19.7,19.1,0,842,774,18.4,0,540,551,19.9
1710221796,12.03.2024,5:36:36,19.7,19.2,0,842,774,19,0,551,551,19.9
1710222699,12.03.2024,5:51:39,19.6,19.3,0,824,774,19.1,0,540,551,19.9
1710223603,12.03.2024,6:06:43,19.6,19.3,0,857,774,19,0,540,551,19.8
1710224506,12.03.2024,6:21:46,19.6,19.4,0,842,760,18.2,0,540,551,19.9
1710225409,12.03.2024,6:36:49,19.7,19.4,0,857,774,18.2,0,540,551,19.8
1710226312,12.03.2024,6:51:52,19.7,19.5,0,824,792,18.2,0,551,551,19.8
1710227215,12.03.2024,7:06:55,19.7,19.5,0,824,760,18.3,0,551,551,19.8
1710228118,12.03.2024,7:21:58,19.7,19.5,0,824,774,18.2,0,540,551,19.9
1710229022,12.03.2024,7:37:02,19.7,19.4,0,842,760,18.2,0,540,551,19.8
1710229925,12.03.2024,7:52:05,19.7,19.3,0,792,875,19.4,0,540,551,19.9
1710230828,12.03.2024,8:07:08,19.8,19.7,0,774,810,19.7,0,540,551,19.9
1710231731,12.03.2024,8:22:11,19.7,19.9,0,760,742,18.8,0,551,551,19.9
1710232634,12.03.2024,8:37:14,19.8,20,0,792,810,19.5,0,540,551,19.9
1710233537,12.03.2024,8:52:17,19.7,20.1,0,792,824,19.4,0,540,551,19.9
1710234440,12.03.2024,9:07:20,19.8,20.2,0,792,810,19.4,0,540,551,20
1710235344,12.03.2024,9:22:24,19.8,20.2,0,774,774,19.7,0,551,551,20
1710236247,12.03.2024,9:37:27,19.7,20.3,0,792,810,20.4,0,540,551,20
1710237150,12.03.2024,9:52:30,19.7,20.6,0,774,792,20.4,0,540,540,20
1710238053,12.03.2024,10:07:33,19.8,21,0,792,810,20.6,0,540,551,19.9
1710238956,12.03.2024,10:22:36,19.8,21.2,0,774,893,19.6,0,540,551,19.9
1710239859,12.03.2024,10:37:39,19.8,21.2,0,792,842,19.5,0,551,551,20
1710240763,12.03.2024,10:52:43,19.8,21.4,0,792,824,19.9,0,540,551,20
1710241666,12.03.2024,11:07:46,19.8,21.4,0,792,842,19.3,0,551,551,20.1
1710242569,12.03.2024,11:22:49,19.9,21.4,0,810,810,20.6,0,551,551,20.1
1710243472,12.03.2024,11:37:52,20,21.4,0,810,842,20.7,0,540,551,20.2
1710244375,12.03.2024,11:52:55,20,21.3,0,810,810,20.7,0,540,551,20.2
1710245278,12.03.2024,12:07:58,20,21.2,0,810,810,21,0,540,551,20.2
1710246181,12.03.2024,12:23:01,20.1,21.2,0,792,925,21,0,540,551,20.2
1710247084,12.03.2024,12:38:04,20.1,20.6,0,774,857,20.9,0,540,551,20.2
1710247988,12.03.2024,12:53:08,20.1,20.6,0,792,774,20.9,0,551,551,20.2
1710248891,12.03.2024,13:08:11,20.1,20.4,0,774,677,20.7,0,540,540,20.2
1710249794,12.03.2024,13:23:14,20.1,20.7,0,792,774,21,0,540,551,20.2
1710250697,12.03.2024,13:38:17,20.1,20.7,0,774,824,20.6,0,540,551,20.1
1710251600,12.03.2024,13:53:20,20.1,20.7,0,792,907,20,0,551,540,20.2
1710252503,12.03.2024,14:08:23,20.1,20.7,0,792,792,20.7,0,540,551,20.2
1710253406,12.03.2024,14:23:26,20.1,20.7,0,774,824,20.7,0,540,540,20.1
1710254310,12.03.2024,14:38:30,20.2,20.7,0,792,842,20.2,0,540,540,20.3
1710255213,12.03.2024,14:53:33,20.1,20.9,0,792,760,21.4,0,540,540,20.2
1710256116,12.03.2024,15:08:36,20.1,20.9,0,774,792,20.7,0,540,551,20.2
1710257019,12.03.2024,15:23:39,20.2,20.8,0,774,810,20.8,0,540,551,20.3
1710257922,12.03.2024,15:38:42,20.2,20.7,0,774,824,20.4,0,551,551,20.3
1710258825,12.03.2024,15:53:45,20.2,21,0,774,792,20.2,0,551,551,20.4
1710259729,12.03.2024,16:08:49,20.2,21.1,0,774,810,19.6,0,540,540,20.3
1710260632,12.03.2024,16:23:52,20.2,21.1,0,792,727,19.2,0,540,551,20.3
1710261535,12.03.2024,16:38:55,20.1,21.1,0,792,742,20.2,0,540,529,20.3
1710262438,12.03.2024,16:53:58,20.1,20.9,0,824,842,19.6,0,551,551,20.3
1710263341,12.03.2024,17:09:01,20.2,20.8,0,774,792,19.6,0,540,551,20.4
1710264244,12.03.2024,17:24:04,20.2,20.3,0,742,792,19.8,0,540,551,20.4
1710265147,12.03.2024,17:39:07,20.2,20.2,0,774,792,19.8,0,551,562,20.3
1710266051,12.03.2024,17:54:11,20.2,20.2,0,792,810,19.2,0,540,551,20.3
1710266954,12.03.2024,18:09:14,20.2,20.1,0,760,824,19.2,0,551,551,20.3
1710267857,12.03.2024,18:24:17,20.3,20,0,760,810,19.7,0,551,551,20.3
1710268760,12.03.2024,18:39:20,20.2,20,0,792,792,19.5,0,540,540,20.3
1710269663,12.03.2024,18:54:23,20.2,19.9,0,774,760,19.3,0,551,540,20.3
1710270566,12.03.2024,19:09:26,20.2,19.7,0,792,810,19.2,0,551,540,20.3
1710271470,12.03.2024,19:24:30,20.1,19.5,0,774,659,19.2,0,551,540,20.3
1710272373,12.03.2024,19:39:33,20.1,19.6,0,774,810,19.2,0,551,540,20.2
1710273276,12.03.2024,19:54:36,20,19.6,0,774,774,19.2,0,551,540,20.2
1710274179,12.03.2024,20:09:39,20,19.5,0,774,810,19.2,0,551,540,20.2
1710275082,12.03.2024,20:24:42,20.1,20,0,842,695,18.2,0,551,551,20.2
1710275985,12.03.2024,20:39:45,20,19.5,0,824,742,18.3,0,540,540,20.1
1710276889,12.03.2024,20:54:49,20,19.1,0,824,709,18,0,551,540,20.1
1710277792,12.03.2024,21:09:52,19.9,19.2,0,842,774,18.2,0,551,540,20
1710278695,12.03.2024,21:24:55,19.9,19.2,0,842,810,18.4,0,551,529,20
1710279598,12.03.2024,21:39:58,19.9,19.1,0,842,760,18.2,0,551,540,20.1
1710280501,12.03.2024,21:55:01,19.9,19,0,824,774,18.2,0,551,540,20
1710281404,12.03.2024,22:10:04,19.9,19,0,842,727,18.1,0,540,540,20
1710282307,12.03.2024,22:25:07,19.8,19,0,842,842,18.3,0,540,540,20
1710283211,12.03.2024,22:40:11,19.9,19,0,824,774,18.2,0,540,572,20
1710284114,12.03.2024,22:55:14,19.9,18.9,0,824,742,18.1,0,551,529,20
1710285017,12.03.2024,23:10:17,19.9,18.9,0,857,760,18.2,0,540,540,20
1710285920,12.03.2024,23:25:20,19.9,18.9,0,824,774,18.3,0,551,540,20
1710286823,12.03.2024,23:40:23,19.9,18.9,0,824,760,18.2,0,551,551,20
1710287726,12.03.2024,23:55:26,19.8,18.9,0,824,742,18.3,0,551,540,20
1710288629,13.03.2024,0:10:29,19.8,18.9,0,842,760,18.2,0,551,540,20
1710289533,13.03.2024,0:25:33,19.8,18.9,0,842,677,18.2,0,551,540,19.9
1710290436,13.03.2024,0:40:36,19.8,18.9,0,824,709,18.3,0,551,540,20
1710291339,13.03.2024,0:55:39,19.8,18.8,0,842,727,18.2,0,551,540,20
1710292242,13.03.2024,1:10:42,19.8,18.8,0,842,875,18.2,0,551,540,19.9
1710293145,13.03.2024,1:25:45,19.7,18.8,0,824,875,18.2,0,551,540,20
1710294048,13.03.2024,1:40:48,19.8,18.8,0,824,742,17.9,0,551,540,20
1710294952,13.03.2024,1:55:52,19.8,18.8,0,824,760,18.2,0,540,551,20
1710295855,13.03.2024,2:10:55,19.7,18.8,0,824,709,18,0,551,540,19.9
1710296758,13.03.2024,2:25:58,19.8,18.8,0,824,709,18,0,551,540,20
1710297661,13.03.2024,2:41:01,19.7,18.8,0,842,774,18.2,0,551,540,19.9
1710298564,13.03.2024,2:56:04,19.7,18.7,0,824,626,18.3,0,551,551,19.9
1710299467,13.03.2024,3:11:07,19.8,18.8,0,810,774,18.4,0,551,551,19.9
1710300371,13.03.2024,3:26:11,19.7,19,0,824,774,18.4,0,551,551,19.9
1710301274,13.03.2024,3:41:14,19.8,19.2,0,824,760,18.3,0,551,551,20
1710302177,13.03.2024,3:56:17,19.8,19.2,0,824,842,18.1,0,551,551,19.9
1710303080,13.03.2024,4:11:20,19.8,19.3,0,810,774,18.2,0,551,551,19.9
1710303983,13.03.2024,4:26:23,19.7,19.4,0,810,659,18.1,0,540,551,19.9
1710304886,13.03.2024,4:41:26,19.8,19.4,0,824,842,18.2,0,551,551,19.9
1710305789,13.03.2024,4:56:29,19.8,19.4,0,824,774,18.2,0,540,551,19.9
1710306693,13.03.2024,5:11:33,19.7,19.5,0,824,824,18.3,0,551,551,19.9
1710307596,13.03.2024,5:26:36,19.7,19.6,0,824,742,18.2,0,551,551,19.9
1710308499,13.03.2024,5:41:39,19.8,19.5,0,824,774,18.2,0,540,551,19.9
1710309402,13.03.2024,5:56:42,19.8,19.7,0,824,810,18.2,0,551,551,19.9
1710310305,13.03.2024,6:11:45,19.7,19.7,0,824,810,18.2,0,540,551,19.9
1710311208,13.03.2024,6:26:48,19.7,19.7,0,810,792,18.3,0,551,551,19.9
1710312112,13.03.2024,6:41:52,19.8,19.7,0,810,760,18.2,0,551,551,19.9
1710313015,13.03.2024,6:56:55,19.8,19.8,0,842,792,18.4,0,540,551,19.9
1710313918,13.03.2024,7:11:58,19.8,19.8,0,842,792,18.2,0,540,551,19.9
1710314821,13.03.2024,7:27:01,19.8,19.8,0,810,824,18.3,0,551,540,20
